A	B	score	A_gene	B_gene	AinRAP	BinRAP
9606.ENSP00000264995	9606.ENSP00000311028	981	MRPL3	RPS14	TRUE	FALSE
9606.ENSP00000324422	9606.ENSP00000325240	981	ZYX	LASP1	TRUE	FALSE
9606.ENSP00000317376	9606.ENSP00000346001	981	MRPS11	RPL3	TRUE	FALSE
9606.ENSP00000239940	9606.ENSP00000349960	981	PFN2	ACTB	TRUE	FALSE
9606.ENSP00000222247	9606.ENSP00000393241	981	RPL18A	RPS18	FALSE	TRUE
9606.ENSP00000287038	9606.ENSP00000330054	980	RPL30	EEF1A1	TRUE	FALSE
9606.ENSP00000244020	9606.ENSP00000341826	980	SRSF6	HNRNPA1	TRUE	FALSE
9606.ENSP00000350028	9606.ENSP00000362300	980	MOV10	AGO1	FALSE	TRUE
9606.ENSP00000295930	9606.ENSP00000401450	980	RSRC1	RPL28	TRUE	FALSE
9606.ENSP00000336927	9606.ENSP00000405573	980	ALDOA	GPI	TRUE	FALSE
9606.ENSP00000405455	9606.ENSP00000405573	980	TKT	GPI	TRUE	FALSE
9606.ENSP00000358635	9606.ENSP00000407724	980	SYNCRIP	CSDE1	FALSE	TRUE
9606.ENSP00000330054	9606.ENSP00000470004	980	EEF1A1	RPS19	FALSE	TRUE
9606.ENSP00000269033	9606.ENSP00000309629	979	SSH2	CFL1	TRUE	FALSE
9606.ENSP00000311028	9606.ENSP00000354525	979	RPS14	MRPL24	FALSE	TRUE
9606.ENSP00000362744	9606.ENSP00000404375	979	RPS4X	RPL36A	TRUE	FALSE
9606.ENSP00000404375	9606.ENSP00000433821	979	RPL36A	RPS3	FALSE	TRUE
9606.ENSP00000401450	9606.ENSP00000435096	979	RPL28	RPS25	FALSE	TRUE
9606.ENSP00000330054	9606.ENSP00000447001	979	EEF1A1	RPL18	FALSE	TRUE
9606.ENSP00000264995	9606.ENSP00000270625	978	MRPL3	RPS11	TRUE	FALSE
9606.ENSP00000270625	9606.ENSP00000274242	978	RPS11	RPL37	FALSE	TRUE
9606.ENSP00000300146	9606.ENSP00000320503	978	PATL1	EDC3	FALSE	TRUE
9606.ENSP00000251453	9606.ENSP00000330054	978	RPS16	EEF1A1	TRUE	FALSE
9606.ENSP00000216181	9606.ENSP00000349960	978	MYH9	ACTB	TRUE	FALSE
9606.ENSP00000254108	9606.ENSP00000361626	978	FUS	YBX1	TRUE	FALSE
9606.ENSP00000330054	9606.ENSP00000462023	978	EEF1A1	RPL17	FALSE	TRUE
9606.ENSP00000241600	9606.ENSP00000311028	977	MRPS2	RPS14	TRUE	FALSE
9606.ENSP00000222247	9606.ENSP00000331019	977	RPL18A	RPS27L	FALSE	TRUE
9606.ENSP00000309334	9606.ENSP00000336702	977	RPL15	EIF5A	TRUE	FALSE
9606.ENSP00000301072	9606.ENSP00000349960	977	TUBA1C	ACTB	TRUE	FALSE
9606.ENSP00000262056	9606.ENSP00000354125	977	EIF4B	EIF3B	FALSE	TRUE
9606.ENSP00000270202	9606.ENSP00000361626	977	AKT1	YBX1	TRUE	FALSE
9606.ENSP00000341826	9606.ENSP00000362900	977	HNRNPA1	SRSF4	FALSE	TRUE
9606.ENSP00000393241	9606.ENSP00000401450	977	RPS18	RPL28	TRUE	FALSE
9606.ENSP00000341826	9606.ENSP00000377892	976	HNRNPA1	SRSF5	FALSE	TRUE
9606.ENSP00000393241	9606.ENSP00000404375	976	RPS18	RPL36A	TRUE	FALSE
9606.ENSP00000321259	9606.ENSP00000405573	976	TALDO1	GPI	TRUE	FALSE
9606.ENSP00000401450	9606.ENSP00000426909	976	RPL28	RACK1	FALSE	TRUE
9606.ENSP00000311028	9606.ENSP00000361076	975	RPS14	RPL7A	FALSE	TRUE
9606.ENSP00000349960	9606.ENSP00000369703	975	ACTB	TUBB2A	FALSE	TRUE
9606.ENSP00000364119	9606.ENSP00000370258	975	EIF2S2	EIF3CL	TRUE	FALSE
9606.ENSP00000331019	9606.ENSP00000401450	975	RPS27L	RPL28	TRUE	FALSE
9606.ENSP00000404375	9606.ENSP00000429374	975	RPL36A	RPS20	FALSE	TRUE
9606.ENSP00000330054	9606.ENSP00000433821	975	EEF1A1	RPS3	FALSE	TRUE
9606.ENSP00000325905	9606.ENSP00000341826	974	SRSF7	HNRNPA1	TRUE	FALSE
9606.ENSP00000346001	9606.ENSP00000354525	974	RPL3	MRPL24	FALSE	TRUE
9606.ENSP00000346001	9606.ENSP00000393241	974	RPL3	RPS18	FALSE	TRUE
9606.ENSP00000305958	9606.ENSP00000410452	974	STIP1	STMN1	FALSE	TRUE
9606.ENSP00000262803	9606.ENSP00000428756	974	UPF1	STAU2	FALSE	TRUE
9606.ENSP00000295930	9606.ENSP00000346001	973	RSRC1	RPL3	TRUE	FALSE
9606.ENSP00000274242	9606.ENSP00000348849	973	RPL37	RPS26	TRUE	FALSE
9606.ENSP00000267064	9606.ENSP00000349960	973	SMARCC2	ACTB	TRUE	FALSE
9606.ENSP00000286788	9606.ENSP00000349960	973	CCT8	ACTB	TRUE	FALSE
9606.ENSP00000296674	9606.ENSP00000404375	973	RPS23	RPL36A	TRUE	FALSE
9606.ENSP00000005257	9606.ENSP00000228251	972	RALA	YBX3	TRUE	FALSE
9606.ENSP00000270625	9606.ENSP00000295930	972	RPS11	RSRC1	FALSE	TRUE
9606.ENSP00000274242	9606.ENSP00000311028	972	RPL37	RPS14	TRUE	FALSE
9606.ENSP00000308897	9606.ENSP00000346001	972	MRPL11	RPL3	TRUE	FALSE
9606.ENSP00000346001	9606.ENSP00000354125	972	RPL3	EIF3B	FALSE	TRUE
9606.ENSP00000265062	9606.ENSP00000387286	972	RAB7A	RAB1A	TRUE	FALSE
9606.ENSP00000307940	9606.ENSP00000401450	972	EEF2	RPL28	TRUE	FALSE
9606.ENSP00000229270	9606.ENSP00000405573	972	TPI1	GPI	TRUE	FALSE
9606.ENSP00000245539	9606.ENSP00000346001	971	MRPS7	RPL3	TRUE	FALSE
9606.ENSP00000306548	9606.ENSP00000346001	971	MRPL13	RPL3	TRUE	FALSE
9606.ENSP00000245503	9606.ENSP00000349960	971	MYH2	ACTB	TRUE	FALSE
9606.ENSP00000311028	9606.ENSP00000323856	970	RPS14	PLEC	FALSE	TRUE
9606.ENSP00000315017	9606.ENSP00000346001	970	MRPL1	RPL3	TRUE	FALSE
9606.ENSP00000293831	9606.ENSP00000348849	970	EIF4A1	RPS26	TRUE	FALSE
9606.ENSP00000349960	9606.ENSP00000352802	970	ACTB	WIPF1	FALSE	TRUE
9606.ENSP00000352802	9606.ENSP00000367220	970	WIPF1	ACTR2	TRUE	FALSE
9606.ENSP00000254322	9606.ENSP00000305958	969	DNAJB1	STIP1	TRUE	FALSE
9606.ENSP00000305995	9606.ENSP00000405573	969	PGK2	GPI	TRUE	FALSE
9606.ENSP00000228251	9606.ENSP00000257904	968	YBX3	CDK4	FALSE	TRUE
9606.ENSP00000262584	9606.ENSP00000330054	968	RPL8	EEF1A1	TRUE	FALSE
9606.ENSP00000290341	9606.ENSP00000344456	968	IGF2BP1	CTNNB1	FALSE	TRUE
9606.ENSP00000247843	9606.ENSP00000349960	968	YEATS4	ACTB	TRUE	FALSE
9606.ENSP00000346027	9606.ENSP00000435096	968	RPL21	RPS25	FALSE	TRUE
9606.ENSP00000224784	9606.ENSP00000357516	967	ACTA2	TPM3	FALSE	TRUE
9606.ENSP00000349428	9606.ENSP00000361626	967	PTBP1	YBX1	TRUE	FALSE
9606.ENSP00000352438	9606.ENSP00000401980	967	PCBP2	MAVS	FALSE	TRUE
9606.ENSP00000229239	9606.ENSP00000405573	967	GAPDH	GPI	TRUE	FALSE
9606.ENSP00000330054	9606.ENSP00000429374	967	EEF1A1	RPS20	FALSE	TRUE
9606.ENSP00000325905	9606.ENSP00000352438	966	SRSF7	PCBP2	TRUE	FALSE
9606.ENSP00000349960	9606.ENSP00000360473	966	ACTB	PFDN4	FALSE	TRUE
9606.ENSP00000346001	9606.ENSP00000362688	966	RPL3	EIF3I	FALSE	TRUE
9606.ENSP00000348849	9606.ENSP00000364293	966	RPS26	TSR2	FALSE	TRUE
9606.ENSP00000367220	9606.ENSP00000396211	966	ACTR2	WASF2	FALSE	TRUE
9606.ENSP00000371393	9606.ENSP00000405573	966	PGM2	GPI	TRUE	FALSE
9606.ENSP00000202773	9606.ENSP00000429931	966	RPL6	EIF3H	TRUE	FALSE
9606.ENSP00000222247	9606.ENSP00000310040	965	RPL18A	EIF3F	FALSE	TRUE
9606.ENSP00000295930	9606.ENSP00000348849	965	RSRC1	RPS26	TRUE	FALSE
